IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP6;IP_PROP7;IC_GROUP0;IC_GROUP1;IC_GROUP2
184;Замена, установка или ремонт выключателя (одноклавишного, двухклавишного) для скрытой и открытой проводок;184;Y;26.12.23;;;;text;;;text;;500;;500 руб.;;Электротехнические работы;;
186;Замена, установка и ремонт розетки для скрытой и открытой проводок ;186;Y;26.12.23;;;;text;;;text;;500;;800 руб.;;Электротехнические работы;;
185;Замена, установка или ремонт блока 3-выкл + розетка скрытой проводки ;185;Y;26.12.23;;;;text;;;text;;500;;500 руб.;;Электротехнические работы;;
186;Изготовление гнезда под установочную коробку в зависимости от материала стены ;186;Y;26.12.23;;;;text;;;text;;500;;800 руб.;;Электротехнические работы;;
187;Монтаж установочной коробки;187;Y;26.12.23;;;;text;;;text;;500;;500 руб.;;Электротехнические работы;;
188;Штробление стен;188;Y;26.12.23;;;;text;;;text;;500;;150 руб.;;Электротехнические работы;;
189;Коммутация распределительной коробки шт. 550 ;189;Y;26.12.23;;;;text;;;text;;500;;150 руб./м.п;;Электротехнические работы;;
190;Монтаж, замена скрытой электропроводки в стенах и потолках с заделкой борозд раствором;190;Y;26.12.23;;;;text;;;text;;500;;550 руб.;;Электротехнические работы;;
191;Монтаж, замена скрытой электропроводки в стенах и потолках без заделки борозд раствором;191;Y;26.12.23;;;;text;;;text;;500;;600-800 руб./м.п.;;Электротехнические работы;;
192;Установка светильника в подвесном потолке;192;Y;26.12.23;;;;text;;;text;;500;;400-600 руб./м.п.;;Электротехнические работы;;
193;Установка точечного светильника в потолке или стене;193;Y;26.12.23;;;;text;;;text;;500;;600 руб.;;Электротехнические работы;;
194;Замена или установка бра и люстр до 5 ламп;194;Y;26.12.23;;;;text;;;text;;500;;500 руб.;;Электротехнические работы;;
195;Замена или установка бра и люстр до 12 и больше ламп ;195;Y;26.12.23;;;;text;;;text;;500;;1 100 руб.;;Электротехнические работы;;
196;Установка люстры на готовый крюк;196;Y;26.12.23;;;;text;;;text;;500;;2 200 руб.;;Электротехнические работы;;
197;Сборка люстры в зависимости от сложности;197;Y;26.12.23;;;;text;;;text;;500;;800 руб.;;Электротехнические работы;;
198;Установка электрического звонка с кнопкой без монтажа проводки;198;Y;26.12.23;;;;text;;;text;;500;;400-700 руб.;;Электротехнические работы;;
199;Замена или установка автомата защиты до 25А;199;Y;26.12.23;;;;text;;;text;;500;;500 руб.;;Электротехнические работы;;
200;Замена или установка автомата защиты до 100А;200;Y;26.12.23;;;;text;;;text;;500;;600 руб.;;Электротехнические работы;;
201;Замена или установка УЗО;201;Y;26.12.23;;;;text;;;text;;500;;1 700 руб.;;Электротехнические работы;;
202;Поиск причины неисправности;202;Y;26.12.23;;;;text;;;text;;500;;500 руб.;;Электротехнические работы;;
203;Установка или замена однофазного эл. счетчика;203;Y;26.12.23;;;;text;;;text;;500;;1 450 руб.;;Электротехнические работы;;
204;Установка или замена трехфазного эл. счетчика;204;Y;26.12.23;;;;text;;;text;;500;;2 700 руб.;;Электротехнические работы;;
205;Подключение к электропитанию вытяжного вентилятора, вытяжки без монтажа проводки;205;Y;26.12.23;;;;text;;;text;;500;;600 руб.;;Электротехнические работы;;
206;Установка датчика движения;206;Y;26.12.23;;;;text;;;text;;500;;500 руб.;;Электротехнические работы;;
207;Замена проводки открытой;207;Y;26.12.23;;;;text;;;text;;500;;350 руб./м.п.;;Электротехнические работы;;
208;Приостановка подачи электроэнергии;208;Y;26.12.23;;;;text;;;text;;500;;1 500 руб.;;Электротехнические работы;;
209;Восстановление электроснабжения после отключения;209;Y;26.12.23;;;;text;;;text;;500;;2 000 руб.;;Электротехнические работы;;
210;Установление причин короткого замыкания;210;Y;26.12.23;;;;text;;;text;;500;;550 руб.;;Электротехнические работы;;
211;Устранение причин короткого замыкания ;211;Y;26.12.23;;;;text;;;text;;500;;550 руб.;;Электротехнические работы;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
