IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP6;IP_PROP7;IC_GROUP0;IC_GROUP1;IC_GROUP2
114;Обследование;114;Y;26.12.2023;;;;text;;;text;;500;;600 руб./30 мин.;;Сантехнические работы;;
115;Замена шарового крана ;115;Y;26.12.2023;;;;text;;;text;;500;;600 руб.;;Сантехнические работы;;
116;Прочистка и промывка радиаторных блоков    ;116;Y;26.12.2023;;;;text;;;text;;500;;1 000 руб.;;Сантехнические работы;;
117;Отключение и включение стояка со сливом воды ;117;Y;26.12.2023;;;;text;;;text;;500;;1 100 руб.;;Сантехнические работы;;
118;Отключение и включение стояка со сливом воды ;118;Y;26.12.2023;;;;text;;;text;;500;;1 100 руб.;;Сантехнические работы;;
119;Прочистка поквартирной канализации  ;119;Y;26.12.2023;;;;text;;;text;;500;;1 100 руб.;;Сантехнические работы;;
120;Замена кран-буксы смесителя  ;120;Y;26.12.2023;;;;text;;;text;;500;;600 руб.;;Сантехнические работы;;
121;Замена полотенцесушителя  ;121;Y;26.12.2023;;;;text;;;text;;500;;1 700 руб.;;Сантехнические работы;;
122;Замена прокладок полотенцесушителя  ;122;Y;26.12.2023;;;;text;;;text;;500;;600 руб.;;Сантехнические работы;;
123;Замена замка почтового ящика в подъезде  ;123;Y;26.12.2023;;;;text;;;text;;500;;500 руб.;;Сантехнические работы;;
124;Установка простого смесителя  ;124;Y;26.12.2023;;;;text;;;text;;500;;1 000 руб.;;Раковины, мойки    ;;
125;Установка смесителя с душем;125;Y;26.12.2023;;;;text;;;text;;500;;1 100 руб.;;Раковины, мойки    ;;
126;Замена сифона ;126;Y;26.12.2023;;;;text;;;text;;500;;500 руб.;;Раковины, мойки    ;;
127;Демонтаж старой раковины ;127;Y;26.12.2023;;;;text;;;text;;500;;600 руб.;;Раковины, мойки    ;;
128;Установка раковины на кронштейнах  ;128;Y;26.12.2023;;;;text;;;text;;500;;1 000 руб.;;Раковины, мойки    ;;
129;"Установка раковины ""Тюльпан""  ";129;Y;26.12.2023;;;;text;;;text;;500;;1 100 руб.;;Раковины, мойки    ;;
130;"Установка раковины ""Мойдодыр""    ";130;Y;26.12.2023;;;;text;;;text;;500;;2 500 руб.;;Раковины, мойки    ;;
131;Замена мойки с присоединением к системе смесителя и сифона;131;Y;26.12.2023;;;;text;;;text;;500;;2 300 руб.;;Раковины, мойки    ;;
132;Установка тумбы под раковину, мойку    ;132;Y;26.12.2023;;;;text;;;text;;500;;700 руб.;;Раковины, мойки    ;;
133;Сверление отверстий в металлической мойке под смеситель;133;Y;26.12.2023;;;;text;;;text;;500;;500 руб.;;Раковины, мойки    ;;
134;Врезка мойки в столешницу;134;Y;26.12.2023;;;;text;;;text;;500;;700 руб.;;Раковины, мойки    ;;
135;Установка сифона слива;135;Y;26.12.2023;;;;text;;;text;;500;;500 руб.;;Раковины, мойки    ;;
136;Замена унитаза;136;Y;26.12.2023;;;;text;;;text;;500;;2 200 руб.;;Унитазы;;
137;Установка унитаза;137;Y;26.12.2023;;;;text;;;text;;500;;2 000 руб.;;Унитазы;;
138;Прочистка унитаза ;138;Y;26.12.2023;;;;text;;;text;;500;;600 руб.;;Унитазы;;
139;Замена смывного бачка  ;139;Y;26.12.2023;;;;text;;;text;;500;;800 руб.;;Унитазы;;
140;Установка бачка ;140;Y;26.12.2023;;;;text;;;text;;500;;800 руб.;;Унитазы;;
141;Ремонт запорной арматуры бачка  ;141;Y;26.12.2023;;;;text;;;text;;500;;600 руб.;;Унитазы;;
142;Замена гофры, сальника, резиновой манжеты    ;142;Y;26.12.2023;;;;text;;;text;;500;;600 руб.;;Унитазы;;
143;Замена ванны (чугун, сталь, акрил) включая обвязку;143;Y;26.12.2023;;;;text;;;text;;500;;4 400 руб.;;Ванны;;
